Samples	class
pos_13_Plaund_1-B,6_01_7411	Plaund
pos_13_Rhysqu_1-B,6_01_5689	Rhysqu
pos_14_Calcus_1-B,7_01_5690	Calcus
pos_14_Plaund_1-B,7_01_6593	Plaund
pos_14_Plaund_1-B,7_01_7412	Plaund
pos_14_Rhysqu_1-A,7_01_7120	Rhysqu
pos_15_Calcus_1-B,8_01_7415	Calcus
pos_15_Calcus_1-C,1_01_5693	Calcus
pos_15_Plaund_1-C,1_01_6596	Plaund
pos_15_Rhysqu_1-A,8_01_7138	Rhysqu
pos_16_Calcus_1-C,2_01_6597	Calcus
pos_16_Rhysqu_1-A,1_01_7139	Rhysqu
pos_16_Rhysqu_1-C,1_01_7416	Rhysqu
pos_16_Rhysqu_1-C,2_01_5694	Rhysqu
pos_17_Calcus_1-A,2_01_7140	Calcus
pos_17_Calcus_1-C,2_01_7417	Calcus
pos_17_Calcus_1-C,3_01_5695	Calcus
pos_17_Calcus_1-C,3_01_6598	Calcus
pos_18_Brarut_1-C,4_01_5696	Brarut
pos_18_Calcus_1-A,3_01_7141	Calcus
pos_18_Rhysqu_1-C,3_01_7418	Rhysqu
pos_18_Rhysqu_1-C,4_01_6599	Rhysqu
pos_19_Brarut_1-C,5_01_5697	Brarut
pos_19_Calcus_1-A,4_01_7142	Calcus
pos_19_Rhysqu_1-C,4_01_7419	Rhysqu
pos_19_Rhysqu_1-C,5_01_6600	Rhysqu
pos_20_Brarut_1-A,5_01_7143	Brarut
pos_20_Calcus_1-C,5_01_7420	Calcus
pos_20_Calcus_1-C,6_01_6601	Calcus
pos_20_Hypcup_1-C,6_01_5698	Hypcup
pos_21_Hypcup_1-A,6_01_7144	Hypcup
pos_21_Hypcup_1-C,6_01_7421	Hypcup
pos_21_Hypcup_1-C,7_01_5699	Hypcup
pos_21_Rhysqu_1-C,7_01_6602	Rhysqu
pos_22_Brarut_1-A,7_01_7146	Brarut
pos_22_Gripul_1-D,1_01_5702	Gripul
pos_22_Hypcup_1-C,7_01_7424	Hypcup
pos_22_Hypcup_1-D,1_01_6605	Hypcup
pos_23_Gripul_1-A,8_01_7147	Gripul
pos_23_Gripul_1-C,8_01_7425	Gripul
pos_23_Gripul_1-D,2_01_5703	Gripul
pos_23_Gripul_1-D,2_01_6609	Gripul
pos_24_Brarut_1-D,3_01_5704	Brarut
pos_24_Brarut_1-D,3_01_6610	Brarut
pos_24_Gripul_1-A,1_01_7148	Gripul
pos_24_Gripul_1-D,1_01_7426	Gripul
pos_25_Marpol_1-A,2_01_7149	Marpol
pos_25_Marpol_1-D,2_01_7427	Marpol
pos_25_Marpol_1-D,4_01_5705	Marpol
pos_25_Marpol_1-D,4_01_6611	Marpol
pos_26_Marpol_1-A,3_01_7150	Marpol
pos_26_Marpol_1-D,3_01_7428	Marpol
pos_26_Marpol_1-D,5_01_5706	Marpol
pos_26_Marpol_1-D,5_01_6612	Marpol
pos_27_Marpol_1-A,4_01_7151	Marpol
pos_27_Marpol_1-D,4_01_7429	Marpol
pos_27_Marpol_1-D,6_01_5707	Marpol
pos_27_Marpol_1-D,6_01_6613	Marpol
